      Skeleton      	num_frames	num_missing
S001C003P002R002A001	    85    	     1     
S001C003P002R002A002	   157    	     1     
S001C003P002R002A003	   120    	     1     
S001C003P002R002A005	    63    	     1     
S001C003P002R002A006	    82    	     1     
S001C003P002R002A007	    80    	     1     
S001C003P002R002A008	    76    	     2     
S001C003P002R002A009	    73    	     2     
S001C003P002R002A010	    89    	     1     
S001C003P002R002A011	   138    	     1     
S001C003P002R002A013	   103    	     1     
S001C003P002R002A014	   169    	     1     
S001C003P002R002A015	   140    	     1     
S002C002P010R002A018	    77    	     2     
S002C002P010R002A019	    75    	     1     
S002C002P010R002A020	    82    	     1     
S002C002P014R002A056	    72    	     1     
S002C003P010R001A057	   105    	     1     
S002C003P010R002A001	    88    	     1     
S002C003P010R002A002	    66    	     1     
S002C003P010R002A003	   104    	     1     
S002C003P010R002A004	   112    	     2     
S002C003P010R002A005	    79    	     1     
S002C003P010R002A011	   128    	     1     
S002C003P010R002A012	   115    	     1     
S002C003P010R002A014	   244    	     1     
S002C003P010R002A015	   177    	     1     
S002C003P010R002A016	   163    	     1     
S002C003P010R002A017	   138    	     1     
S002C003P010R002A018	    78    	     1     
S002C003P010R002A019	    75    	     1     
S002C003P010R002A020	    84    	     1     
S002C003P010R002A021	    81    	     1     
S002C003P010R002A022	    88    	     1     
S002C003P010R002A030	   113    	     2     
S002C003P010R002A031	    65    	     1     
S002C003P010R002A032	    71    	     1     
S002C003P010R002A033	    57    	     1     
S002C003P010R002A034	    54    	     1     
S002C003P010R002A035	    53    	     1     
S002C003P014R002A055	    51    	    10     
S002C003P014R002A056	    71    	     1     
S002C003P014R002A057	    82    	     1     
S002C003P014R002A058	    65    	     1     
S002C003P014R002A059	    80    	     1     
S002C003P014R002A060	    91    	     1     
S003C002P017R001A055	    47    	     4     
S003C003P015R001A059	    86    	    10     
S005C002P004R001A002	   102    	     1     
S005C002P004R001A004	    98    	     1     
S005C002P004R001A005	    69    	     1     
S005C002P004R001A006	    89    	     1     
S005C002P004R001A016	   150    	     1     
S005C002P004R001A017	   100    	     1     
S005C002P004R001A018	   103    	     1     
S005C002P004R001A019	    85    	     1     
S005C002P004R001A020	    81    	     1     
S005C002P004R001A021	    89    	     1     
S005C002P004R001A022	    72    	     1     
S005C002P004R001A023	    55    	     1     
S005C002P004R001A024	    66    	     1     
S005C002P004R001A025	    90    	     1     
S005C002P004R001A026	    91    	     1     
S005C002P004R001A059	    63    	     1     
S005C002P004R001A060	    69    	     1     
S005C002P004R002A001	    74    	     1     
S005C002P004R002A003	    86    	     1     
S005C002P004R002A004	    90    	     1     
S005C002P004R002A005	    66    	     1     
S005C002P004R002A006	    64    	     1     
S005C002P004R002A007	    61    	     1     
S005C002P004R002A008	    70    	     1     
S005C002P004R002A014	   120    	     1     
S005C002P004R002A015	   105    	     1     
S005C002P004R002A016	   145    	     1     
S005C002P004R002A017	   104    	     1     
S005C002P004R002A018	    87    	     1     
S005C002P004R002A019	    71    	     1     
S005C002P004R002A020	    64    	     1     
S005C002P004R002A021	   100    	     1     
S005C002P004R002A022	    57    	     1     
S005C002P004R002A023	    93    	     1     
S005C002P004R002A024	    67    	     1     
S005C002P004R002A025	   109    	     1     
S005C002P004R002A026	   104    	     1     
S005C002P004R002A027	    75    	     1     
S005C002P004R002A028	    74    	     1     
S005C002P004R002A029	   115    	     1     
S005C002P004R002A030	    95    	     1     
S005C002P004R002A031	    63    	     1     
S005C002P004R002A032	    68    	     1     
S005C002P004R002A033	    42    	     1     
S005C002P004R002A034	    65    	     1     
S005C002P004R002A035	    69    	     1     
S005C002P004R002A036	    55    	     1     
S005C002P004R002A037	    82    	     1     
S005C002P004R002A038	    61    	     1     
S005C002P004R002A039	    58    	     1     
S005C002P004R002A040	    84    	     1     
S005C002P004R002A041	    73    	     1     
S005C002P004R002A042	   104    	     1     
S005C002P004R002A043	    79    	     1     
S005C002P004R002A044	    62    	     1     
S005C002P004R002A045	    69    	     1     
S005C002P004R002A046	    60    	     1     
S005C002P004R002A047	    68    	     1     
S005C002P004R002A048	    69    	     1     
S005C002P004R002A049	    73    	     1     
S006C002P016R001A008	    74    	     1     
S007C002P007R001A020	    54    	     2     
S007C002P015R001A028	    84    	     1     
S007C002P015R001A029	   105    	     1     
S007C002P015R001A030	    92    	     1     
S007C002P015R001A031	    57    	     1     
S008C001P019R001A060	    60    	    10     
S008C002P035R002A003	    68    	     1     
S008C002P035R002A004	    85    	     1     
S008C002P035R002A006	    64    	     1     
S008C002P035R002A007	    49    	     1     
S008C002P035R002A011	    72    	     1     
S008C002P035R002A012	   186    	     1     
S009C002P019R001A055	    59    	    10     
S009C003P007R002A059	   106    	    38     
S010C001P018R002A008	    51    	    11     
S010C002P007R002A014	    56    	    11     
S013C001P025R002A001	   106    	     1     
S014C002P007R002A059	    58    	    10     
S014C002P008R002A059	    54    	    10     
S015C003P015R002A008	    40    	     4     
S015C003P016R001A059	    76    	    39     
S015C003P025R001A059	    93    	    33     
S016C002P008R001A060	    85    	    11     
S016C003P008R001A004	    97    	     7     
S016C003P039R001A059	   106    	    54     
S016C003P039R001A060	    96    	    11     
S016C003P040R001A059	   112    	    51     
S016C003P040R001A060	    98    	    48     
S017C003P007R002A059	    82    	    17     
      Skeleton      	num_frames	num_missing
