      Skeleton      	     bodyID      	 Motion 	  Rate  
S001C001P001R001A024	72057594037931781	0.082263	1.000000
S001C001P001R001A025	72057594037931781	0.071955	1.000000
S001C001P001R001A026	72057594037931781	0.064346	0.951456
S001C001P001R001A027	72057594037931781	0.066993	1.000000
S001C001P001R001A028	72057594037931781	0.070656	0.981481
S001C001P001R001A029	72057594037931781	0.069684	1.000000
S001C001P002R001A031	72057594037932971	0.082215	0.980769
S001C001P002R001A032	72057594037932971	0.085288	0.930233
S001C001P002R001A033	72057594037932971	0.086554	0.800000
S001C001P002R001A034	72057594037932971	0.085916	1.000000
S001C001P002R001A035	72057594037932971	0.089098	1.000000
S001C001P002R001A036	72057594037932971	0.085333	0.990385
S001C001P002R002A018	72057594037935197	0.052390	0.922078
S001C001P002R002A019	72057594037935197	0.049698	0.938462
S001C001P003R001A001	72057594037936103	0.043751	0.838983
S001C001P003R001A031	72057594037936779	0.069408	0.946667
S001C001P003R002A005	72057594037937524	0.052770	1.000000
S001C001P003R002A026	72057594037937632	0.052132	1.000000
S001C001P003R002A027	72057594037937632	0.055716	1.000000
S001C001P006R002A050	72057594037943023	0.038303	0.787234
S001C001P006R002A053	72057594037943023	0.038777	0.737705
S001C001P007R001A013	72057594037944147	0.039258	0.754237
S001C002P001R001A019	72057594037931010	0.089277	0.973684
S001C002P002R001A011	72057594037932515	0.024132	0.834951
S001C002P003R002A056	72057594037935934	0.090557	1.000000
S001C002P003R002A057	72057594037935934	0.099504	1.000000
S001C002P003R002A058	72057594037935934	0.097698	1.000000
S001C002P005R002A002	72057594037938980	0.040537	1.000000
S001C002P005R002A003	72057594037938980	0.034462	1.000000
S001C002P008R001A024	72057594037942445	0.042501	0.839286
S001C002P008R001A025	72057594037942445	0.041942	0.734940
S001C002P008R001A026	72057594037942445	0.040076	0.977011
S001C002P008R001A027	72057594037942445	0.050652	0.965517
S001C002P008R001A028	72057594037942445	0.042272	0.858696
S001C002P008R001A029	72057594037942445	0.042764	0.832061
S001C002P008R001A035	72057594037942450	0.079132	1.000000
S001C002P008R001A036	72057594037942450	0.071183	1.000000
S001C002P008R001A037	72057594037942450	0.064830	1.000000
S001C002P008R001A038	72057594037942450	0.068427	1.000000
S001C002P008R001A039	72057594037942450	0.062425	1.000000
S001C002P008R001A040	72057594037942450	0.065536	1.000000
S001C002P008R001A041	72057594037942450	0.062099	1.000000
S001C002P008R001A042	72057594037942450	0.060717	1.000000
S001C002P008R001A043	72057594037942450	0.072134	1.000000
S001C002P008R001A044	72057594037942450	0.064714	0.984848
S001C002P008R001A045	72057594037942450	0.063197	1.000000
S001C002P008R001A046	72057594037942450	0.060415	1.000000
S001C002P008R001A047	72057594037942450	0.069534	1.000000
S001C002P008R001A048	72057594037942450	0.079364	1.000000
S001C003P001R001A024	72057594037931407	0.054299	1.000000
S001C003P001R001A025	72057594037931407	0.052219	1.000000
S001C003P001R001A026	72057594037931407	0.052359	1.000000
S001C003P001R001A027	72057594037931407	0.052250	1.000000
S001C003P001R001A028	72057594037931407	0.051326	1.000000
S001C003P001R001A029	72057594037931407	0.050353	1.000000
S001C003P002R001A020	72057594037932211	0.084109	0.883333
S001C003P002R001A022	72057594037932211	0.082328	0.785714
S001C003P002R002A013	72057594037934716	0.034928	0.990196
S001C003P003R002A026	72057594037937100	0.039892	0.743902
S001C003P003R002A027	72057594037937100	0.038400	1.000000
S001C003P008R002A021	72057594037944570	0.042869	0.857143
S001C003P008R002A022	72057594037944570	0.036531	0.970588
S001C003P008R002A023	72057594037944570	0.036311	0.847222
S001C003P008R002A024	72057594037944570	0.038539	0.809524
S001C003P008R002A025	72057594037944570	0.044843	0.800000
S001C003P008R002A026	72057594037944570	0.035100	0.736264
S001C003P008R002A027	72057594037944570	0.033755	0.844828
S001C003P008R002A033	72057594037944587	0.055623	0.750000
S002C001P011R002A007	72057594037935246	0.100180	1.000000
S002C003P007R002A016	72057594037941482	0.057807	0.713235
S002C003P007R002A017	72057594037941482	0.058811	0.733333
S002C003P010R002A011	72057594037930785	0.160215	0.992188
S002C003P010R002A012	72057594037930785	0.159101	0.991304
S002C003P010R002A014	72057594037930785	0.101342	0.737705
